A02AD01 Magnesio idrossido/algeld 020702054 MAALOX 40 cpr mast 800 mg SANOFI-AVENTIS RR 2,17 2,16
J01CR02 Amoxicillina/acido clavulan037042013 AMOXICILLINA + ACID12 cpr 875 mg + 125 mg ABC RR 10,10 10,04 G
J01CR02 Amoxicillina/acido clavulan037034016 AMOXICILLINA + ACID12 bust 875 mg + 125 mg RANBAXY RR 10,10 10,04 G
J01CR02 Amoxicillina/acido clavulan037034028 AMOXICILLINA + ACID12 cpr 875 mg + 125 mg RANBAXY RR 10,10 10,04 G
J01CR02 Amoxicillina/acido clavulan036980148 AMOXICILLINA ACIDO grat os sosp 35 ml 400 mg/5 ml + 57 mg/5 ml SANDOZ RR 3,52 3,50 G
J01CR02 Amoxicillina/acido clavulan036980175 AMOXICILLINA ACIDO grat os sosp 70 ml 400 mg/5 ml + 57 mg/5 ml SANDOZ RR 7,07 7,03 G
J01CR02 Amoxicillina/acido clavulan036801013 ANIVAL 12 cpr riv 875 mg + 125 mg ERREKAPPA RR 10,10 10,04 G
J01CR02 Amoxicillina/acido clavulan036801025 ANIVAL 12 bust grat 875 mg + 125 mg ERREKAPPA RR 10,10 10,04 G
J01CR02 Amoxicillina/acido clavulan026089110 AUGMENTIN "BB" grat os sosp 35 ml GLAXOSMITHKLINE RR 4,02 4,00 G
J01CR02 Amoxicillina/acido clavulan026089146 AUGMENTIN "BB" 12 bust os sosp 400 mg GLAXOSMITHKLINE RR 7,98 7,88 X
J01CR02 Amoxicillina/acido clavulan026089122 AUGMENTIN "BB" grat os sosp 70 ml GLAXOSMITHKLINE RR 7,57 7,52 G
J01CR02 Amoxicillina/acido clavulan026089019 AUGMENTIN 12 cpr riv 875 mg + 125 mg GLAXOSMITHKLINE RR 10,72 10,66 G
J01CR02 Amoxicillina/acido clavulan026089108 AUGMENTIN 12 bust grat 875 mg + 125 mg GLAXOSMITHKLINE RR 10,72 10,66 G
J01CR02 Amoxicillina/acido clavulan 026089134 AUGMENTIN "BB" grat os sosp 140 ml GLAXOSMITHKLINE RR 15,03 14,94 G
J01CR02 Amoxicillina/acido clavulan026138204 CLAVULIN "BB" os sosp 35 ml FOURNIER PHARMA RR 3,52 3,50 G
J01CR02 Amoxicillina/acido clavulan026138216 CLAVULIN "BB" os sosp 70 ml FOURNIER PHARMA RR 7,07 7,03 G
J01CR02 Amoxicillina/acido clavulan026138230 CLAVULIN "BB" 12 bust os sosp FOURNIER PHARMA RR 7,98 7,88 X
J01CR02 Amoxicillina/acido clavulan026138139 CLAVULIN 12 cpr riv 1 g FOURNIER PHARMA RR 10,10 10,04 G
J01CR02 Amoxicillina/acido clavulan026138192 CLAVULIN 12 bust polv os 875 mg + 125 mg FOURNIER PHARMA RR 10,10 10,04 G
J01CR02 Amoxicillina/acido clavulan 026138228 CLAVULIN "BB" os sosp 140 ml FOURNIER PHARMA RR 14,53 14,44 G
J01CR02 Amoxicillina/acido clavulan036791010 HOMER 12 bust 875 mg + 125 mg SO.SE.PHARM RR 10,10 10,04 G
J01CR02 Amoxicillina/acido clavulan036791022 HOMER 12 cpr 875 mg + 125 mg SO.SE.PHARM RR 10,10 10,04 G
J01CR02 Amoxicillina/acido clavulan036846018 KLAVOX 12 cpr 875 mg + 125 mg D&G RR 10,10 10,04 G
J01CR02 Amoxicillina/acido clavulan036846020 KLAVOX 12 bust 875 mg + 125 mg D&G RR 10,10 10,04 G
J01CR02 Amoxicillina/acido clavulan036896013 KRUXADE 12 bust 875 mg + 125 mg KRUGHER RR 10,10 10,04 G
J01CR02 Amoxicillina/acido clavulan036896025 KRUXADE 12 cpr riv 875 mg + 125 mg KRUGHER RR 10,10 10,04 G
J01CR02 Amoxicillina/acido clavulan036847022 MONDEX 12 bust 875 mg + 125 mg S.F. GROUP RR 10,10 10,04 G
J01CR02 Amoxicillina/acido clavulan036847010 MONDEX 12 cpr riv 875 mg + 125 mg S.F. GROUP RR 10,10 10,04 G
J01CR02 Amoxicillina/acido clavulan026141212 NEODUPLAMOX "BB" os sosp 70 ml PROCTER & GAMBLE RR 7,07 7,03 G
J01CR02 Amoxicillina/acido clavulan026141147 NEODUPLAMOX 12 cpr riv 1 g PROCTER & GAMBLE RR 10,10 10,04 G
J01CR02 Amoxicillina/acido clavulan026141198 NEODUPLAMOX 12 bust polv os 875 mg + 125 mg PROCTER & GAMBLE RR 10,10 10,04 G
J01CR02 Amoxicillina/acido clavulan026141224 NEODUPLAMOX BB os sosp 140 ml PROCTER & GAMBLE RR 14,53 14,44 G
J01CR02 Amoxicillina/acido clavulan036829012 XINAMOD 12 bust grat 875 mg + 125 mg PROGE FARM RR 10,10 10,04 G
J01CR02 Amoxicillina/acido clavulan036829024 XINAMOD 12 cpr riv 875 mg + 125 mg PROGE FARM RR 10,10 10,04 G
J01CR05 Piperacillina/tazobactam 028512022 TAZOBAC 1 fiala 2 g/4ml + 0,25 g/4ml + 1 55 WYETH LEDERLE RR 12,45 12,31 X X
J01CR05 Piperacillina/tazobactam 028249023 TAZOCIN 1 fiala IM EV 2 g/4ml + 0,25 g/4 55 WYETH LEDERLE RR 12,45 12,31 X X
J01DB01 Cefalexina 032411023 CEFALEXINA 8 cps 500 mg OFF RR 3,03 3,01 G
J01DB01 Cefalexina 032411035 CEFALEXINA scir 100 ml 5% OFF RR 4,25 4,22 G
J01DB01 Cefalexina 022086045 CEPOREX 8 cps 500 mg GLAXOSMITHKLINE RR 3,59 3,57 G
J01DB01 Cefalexina 022086110 CEPOREX 8 cpr riv 1 g GLAXOSMITHKLINE RR 7,07 6,99 X
J01DB01 Cefalexina 022085056 KEFORAL 8 cpr 500 mg EG RR 3,59 3,57 G
J01DB01 Cefalexina 022085068 KEFORAL grat os sosp 100 ml 5% EG RR 4,46 4,43 G
J01DB01 Cefalexina 022085082 KEFORAL 8 cpr 1 g EG RR 7,07 6,99 X
J01DB01 Cefalexina 023867031 LAFARIN 8 cpr 1 g LA.FA.RE. RR 7,07 6,99 X
J01DB01 Cefalexina 023867043 LAFARIN os sosp 100 ml 10% LA.FA.RE. RR 8,27 8,17 X
J01DB03 Cefalotina 033356015 CEFALOTINA SODICA 1 fiala 1 g + 1 fiala solv BIOPHARMA RR 3,13 3,11 G
J01DB03 Cefalotina 031412012 CEFALOTINA SODICA 1 fiala 1 g + 1 fiala solv 4 ml FISIOPHARMA RR 3,72 3,70 G
J01DB03 Cefalotina 032412013 CEFALOTINA SODICA 1 fiala 1 g + 1 fiala solv 4 ml OFF RR 3,72 3,70 G
J01DB04 Cefazolina 023873033 ACEF 1 flaconcino IM 1 g + 1 fiala solv 4 ml K.G. RR 1,89 1,88 G
J01DB04 Cefazolina 024131031 CEFABIOZIM 1 fiala IM 1 g + 1 fiala solv 4 ml IPA RR 3,05 3,03 G
J01DB04 Cefazolina 022662098 CEFAMEZIN 1 fiala IM 250 mg + 1 fiala solv 2 ml PFIZER ITALIA RR 1,55 1,54
J01DB04 Cefazolina 022662011 CEFAMEZIN 1 fiala IM 1 g + 1 fiala solv 4 ml PFIZER ITALIA RR 3,88 3,86 G
J01DB04 Cefazolina 023916051 CEFAZIL 1 fiala IM 1 g + 1 fiala solv 4 ml ITALFARMACO RR 3,88 3,86 G
J01DB04 Cefazolina 023827088 CEFAZOLINA 1 fiala IM 500 mg + 1 fiala solv 3 ml DOROM RR 1,77 1,76 G
J01DB04 Cefazolina 033692017 CEFAZOLINA 1 fiala IM 1 g + 1 fiala solv 4 ml ACS DOBFAR RR 1,89 1,88 G
J01DB04 Cefazolina 023827090 CEFAZOLINA 1 fiala IM 1 g + 1 fiala solv 4 ml DOROM RR 1,89 1,88 G
J01DB04 Cefazolina 034414019 CEFAZOLINA 1 fiala IM 1 g + 1 fiala solv 4 ml FRANCIA RR 1,89 1,88 G
J01DB04 Cefazolina 033274010 CEFAZOLINA 1 fiala IM 1 g + 1 fiala solv 4 ml MERCK GENERICS RR 1,89 1,88 G
J01DB04 Cefazolina 033575010 CEFAZOLINA 1 fiala IM 1 g + 1 fiala solv 4 ml PLIVA RR 1,89 1,88 G
J01DB04 Cefazolina 023853031 CEFAZOLINA 1 fiala IM 1 g + 1 fiala solv 4 ml TEVA RR 1,89 1,88 G
J01DB04 Cefazolina 032789012 CEFAZOLINA 1 fiala IM 1 g + 1 fiala solv 4 ml UNION HEALTH RR 1,89 1,88 G
J01DB04 Cefazolina 033436015 CEFAZOLINA 1 fiala IM 1 g + 1 fiala solv 4 ml BIOPROGRESS RR 3,05 3,03 G
J01DB04 Cefazolina 033444047 CEFAZOLINA 1 fiala IM 1 g + 1 fiala solv 4 ml K24 RR 3,05 3,03 G
J01DB04 Cefazolina 023726033 CROMEZIN 1 fiala IM 1 g + 1 fiala solv 4 ml SO.SE.PHARM RR 3,05 3,03 G
J01DB04 Cefazolina 033123011 NEFAZOL 1 fiala IM 1 g + 1 fiala solv 4 ml NEW RESEARCH RR 1,89 1,88 G
J01DB04 Cefazolina 023783057 RECEF 1 fiala IM 1 g + 1 fiala solv 4 ml FARMA 1 RR 3,05 3,03 G
J01DB04 Cefazolina 024127019 SICEF 1 fiala IM 1 g + 1 fiala solv 4 ml BENEDETTI RR 1,89 1,88 G
J01DB04 Cefazolina 022810129 TOTACEF 1 fiala IM 1 g + 1 fiala solv 4 ml BRISTOL RR 1,89 1,88 G
J01DB04 Cefazolina 022810055 TOTACEF 1 fiala EV 1 g + 1 fiala solv 10 ml BRISTOL RR 3,77 3,75 G
J01DB05 Cefadroxil 025451081 CEFADRIL grat os sosp 100 ml 5% AGIPS RR 6,63 6,59 G
J01DB05 Cefadroxil 025451055 CEFADRIL 8 cpr div 1 g AGIPS RR 9,05 9,00 G
J01DB05 Cefadroxil 025511027 ORADROXIL 8 cpr 1 g LAMPUGNANI RR 9,05 9,00 G
J01DB07 Cefatrizina 025789013 FARETRIZIN 8 cps 500 mg LA.FA.RE. RR 7,32 7,28 G
J01DB07 Cefatrizina 025789025 FARETRIZIN grat os sosp 100 ml 5% LA.FA.RE. RR 9,28 9,22 G
J01DB07 Cefatrizina 025775040 IPATRIZINA os sosp 100 ml 5% IPA RR 9,23 9,17 G
J01DB07 Cefatrizina 025759022 KETRIZIN 8 cpr 500 mg ESSETI RR 6,96 6,92 G
J01DB07 Cefatrizina 025759034 KETRIZIN grat 60 g 10% ESSETI RR 10,10 10,04 G
J01DB07 Cefatrizina 024734016 TRIZINA 8 cps 500 mg FRANCIA RR 7,32 7,28 G
J01DB07 Cefatrizina 024734028 TRIZINA grat os sosp 100 ml 5% FRANCIA RR 9,23 9,17 G
J01DB09 Cefradina 024137034 ECOSPORINA 8 cpr 1 g ECOBI RR 6,80 6,72 X
J01DB09 Cefradina 023915111 LISACEF 8 cpr 1 g LISAPHARMA RR 6,80 6,72 X
J01DB12 Ceftezolo 025336025 ALOMEN 1 fiala IM 1 g + 1 fiala solv 3 ml 55 PLIVA RR 4,66 4,63
J01DC01 Cefoxitina 025507017 CEFOCICLIN 1 fiala IM 1 g + 1 fiala solv 2 ml 55 FRANCIA RR 4,80 4,77
J01DC01 Cefoxitina 024027017 MEFOXIN 1 fiala IM 1 g + 1 fiala solv 2 ml 55 VISUFARMA RR 4,95 4,92
J01DC02 Cefuroxima 024330045 CEFURIN 1 fiala IM 1 g + 1 fiala solv 4 ml 55 MAGIS RR 3,71 3,69 G
J01DC02 Cefuroxima 023576022 CUROXIM 1 fiala IM 500 mg + 1 fiala solv 55 GLAXOSMITHKLINE RR 2,32 2,31
J01DC02 Cefuroxima 023576010 CUROXIM 1 fiala IM 250 mg + 1 fiala solv 55 GLAXOSMITHKLINE RR 1,03 1,02
J01DC02 Cefuroxima 023576046 CUROXIM 1 fiala IM 1 g + 1 fiala solv 4 ml 55 GLAXOSMITHKLINE RR 4,20 4,17 G
J01DC02 Cefuroxima 024344020 DUXIMA 1 fiala IM 1 g + 1 fiala solv 4 ml 55 ECOBI RR 4,09 4,07 G
J01DC02 Cefuroxima 024105013 ITOREX 1 fiala IM 1 g + 1 fiala solv 4 ml 55 PHARMA ITALIA RR 3,71 3,69 G
J01DC02 Cefuroxima 024136044 KESINT 1 fiala IM 1 g + 1 fiala solv 4 ml 55 COPERNICO RR 3,71 3,69 G
J01DC02 Cefuroxima 024311045 LAFUREX 1 fiala IM 1 g + 1 fiala solv 4 ml 55 LA.FA.RE. RR 3,71 3,69 G
J01DC02 Cefuroxima 027002031 ORAXIM 6 cpr riv 500 mg MALESCI RR 13,22 13,06 X
J01DC02 Cefuroxima 027002043 ORAXIM grat os sosp 100 ml 125 mg/5 ml MALESCI RR 13,78 13,62 X
J01DC02 Cefuroxima 027002070 ORAXIM grat os sosp 50 ml 250 mg/5 ml MALESCI RR 13,78 13,62 X
J01DC02 Cefuroxima 027002029 ORAXIM 12 cpr riv 250 mg MALESCI RR 15,78 15,60 X
J01DC02 Cefuroxima 027002056 ORAXIM 12 bust grat 250 mg MALESCI RR 15,78 15,60 X
J01DC02 Cefuroxima 024339020 SUPERO 1 fiala IM 1 g + 1 fiala solv 4 ml 55 LIFEPHARMA RR 4,20 4,17 G
J01DC02 Cefuroxima 027020039 TILEXIM 6 cpr riv 500 mg CABER RR 13,22 13,06 X
J01DC02 Cefuroxima 027020066 TILEXIM grat os sosp 50 ml 250 mg/5 ml CABER RR 13,78 13,62 X
J01DC02 Cefuroxima 027020027 TILEXIM 12 cpr riv 250 mg CABER RR 15,78 15,60 X
J01DC02 Cefuroxima 026915037 ZINNAT 6 cpr riv 500 mg GLAXOSMITHKLINE RR 13,22 13,06 X
J01DC02 Cefuroxima 026915049 ZINNAT grat os sosp 100 ml 125 mg/5 ml GLAXOSMITHKLINE RR 13,78 13,62 X
J01DC02 Cefuroxima 026915076 ZINNAT grat os sosp 50 ml 250 mg/5 ml GLAXOSMITHKLINE RR 13,78 13,62 X
J01DC02 Cefuroxima 026915025 ZINNAT 12 cpr riv 250 mg GLAXOSMITHKLINE RR 15,78 15,60 X
J01DC02 Cefuroxima 026915052 ZINNAT 12 bust grat 250 mg GLAXOSMITHKLINE RR 15,78 15,60 X
J01DC02 Cefuroxima 033896046 ZINOCEP 1 fiala IM 1 g + 1 fiala solv 4 ml 55 GLAXO ALLEN RR 4,20 4,17 G
J01DC02 Cefuroxima 026917031 ZOREF 6 cpr riv 500 mg GLAXO ALLEN RR 13,22 13,06 X
J01DC02 Cefuroxima 026917043 ZOREF grat os sosp 100 ml 125 mg/5 ml GLAXO ALLEN RR 13,78 13,62 X
J01DC02 Cefuroxima 026917070 ZOREF grat os sosp 50 ml 250 mg/5 ml GLAXO ALLEN RR 13,78 13,62 X
J01DC02 Cefuroxima 026917029 ZOREF 12 cpr riv 250 mg GLAXO ALLEN RR 15,78 15,60 X
J01DC03 Cefamandolo 024294011 CEFAM 1 fiala IM EV 1 g + 1 fiala solv 3 55 MAGIS RR 4,15 4,13 G
J01DC03 Cefamandolo 024365037 MANCEF 1 fiala IM 1 g + 1 fiala solv 3,5 m 55 LA.FA.RE. RR 4,15 4,13 G
J01DC03 Cefamandolo 024286015 MANDOKEF 1 fiala IM 1 g + 1 fiala solv 4 ml 55 ELI LILLY RR 4,28 4,25 G
J01DC04 Cefacloro 034687032 ALTACLOR 6 cpr 750 mg rilascio modificato C.T. LABORATORIO FARMACEUTICO RR 11,06 10,99 G
J01DC04 Cefacloro 034616021 BACTICEF 8 cps 500 mg MITIM RR 6,29 6,25 G
J01DC04 Cefacloro 034616019 BACTICEF grat os sosp 100 ml 250 mg/5 ml MITIM RR 7,68 7,63 G
J01DC04 Cefacloro 034619027 BACTIGRAM 8 cps 500 mg MAGIS RR 6,29 6,25 G
J01DC04 Cefacloro 034619015 BACTIGRAM grat os sosp 100 ml 250 mg/5 ml MAGIS RR 7,68 7,63 G
J01DC04 Cefacloro 034619039 BACTIGRAM 6 cpr 750 mg rilascio modificato MAGIS RR 11,06 10,99 G
J01DC04 Cefacloro 034287021 CEFACLOR 8 cps 500 mg DOC GENERICI RR 6,29 6,25 G
J01DC04 Cefacloro 034597017 CEFACLOR 8 cps 500 mg MERCK GENERICS RR 6,29 6,25 G
J01DC04 Cefacloro 033508019 CEFACLOR 8 cps 500 mg SANDOZ RR 6,29 6,25 G
J01DC04 Cefacloro 034636011 CEFACLOR 8 cps 500 mg K24 RR 6,41 6,37 G
J01DC04 Cefacloro 035361029 CEFACLOR grat os sosp 100 ml 250 mg/5 ml ABC RR 7,68 7,63 G
J01DC04 Cefacloro 034287045 CEFACLOR grat os sosp 100 ml 250 mg/5 ml DOC GENERICI RR 7,68 7,63 G
J01DC04 Cefacloro 033648039 CEFACLOR grat os sosp 100 ml 250 mg/5 ml EG RR 7,68 7,63 G
J01DC04 Cefacloro 034597029 CEFACLOR grat os sosp 100 ml 250 mg/5 ml MERCK GENERICS RR 7,68 7,63 G
J01DC04 Cefacloro 034844023 CEFACLOR grat os sosp 100 ml 250 mg/5 ml PLIVA RR 7,68 7,63 G
J01DC04 Cefacloro 033710031 CEFACLOR grat os sosp 100 ml 250 mg/5 ml RATIOPHARM GMBH RR 7,68 7,63 G
J01DC04 Cefacloro 033508021 CEFACLOR grat os sosp 100 ml 250 mg/5 ml SANDOZ RR 7,68 7,63 G
J01DC04 Cefacloro 034636023 CEFACLOR grat os sosp 100 ml 250 mg/5 ml K24 RR 7,81 7,76 G
J01DC04 Cefacloro 034626010 CEFULTON 8 cps 500 mg FULTON RR 7,59 7,54 G
J01DC04 Cefacloro 034626022 CEFULTON grat os sosp 100 ml 250 mg/5 ml FULTON RR 9,19 9,13 G
J01DC04 Cefacloro 031903026 CLORAD 8 cps 500 mg ACS DOBFAR RR 6,29 6,25 G
J01DC04 Cefacloro 031903040 CLORAD grat os sosp 100 ml 250 mg/5 ml ACS DOBFAR RR 7,68 7,63 G
J01DC04 Cefacloro 028678035 CLORAZER 6 cpr 750 mg rilascio modificato ACS DOBFAR RR 11,06 10,99 G
J01DC04 Cefacloro 034480018 DORF 8 cps 500 mg I.BIR.N RR 6,29 6,25 G
J01DC04 Cefacloro 034480020 DORF grat os sosp 100 ml 250 mg/5 ml I.BIR.N RR 7,68 7,63 G
J01DC04 Cefacloro 034610042 GENICLOR 6 cpr 750 mg rilascio modificato BONISCONTRO & GAZZONE RR 11,06 10,99 G
J01DC04 Cefacloro 033083039 KLIACEF 8 cpr solub 500 mg SO.SE.PHARM RR 6,29 6,25 G
J01DC04 Cefacloro 033083027 KLIACEF grat os sosp 100 ml 250 mg/5 ml SO.SE.PHARM RR 7,68 7,63 G
J01DC04 Cefacloro 034481010 LAFARCLOR 8 cps 500 mg LA.FA.RE. RR 6,29 6,25 G
J01DC04 Cefacloro 034481022 LAFARCLOR grat os sosp 100 ml 250 mg/5 ml LA.FA.RE. RR 7,68 7,63 G
J01DC04 Cefacloro 033114036 MACOVAN grat os sosp 100 ml 250 mg/5 ml DEPO FARMA RR 7,68 7,63 G
J01DC04 Cefacloro 033114048 MACOVAN 6 cpr 750 mg rilascio modificato DEPO FARMA RR 11,06 10,99 G
J01DC04 Cefacloro 034514024 NECLORAL grat os sosp 100 ml 250 mg/5 ml NEW RESEARCH RR 7,68 7,63 G
J01DC04 Cefacloro 034514036 NECLORAL 6 cpr 750 mg rilascio modificato NEW RESEARCH RR 11,06 10,99 G
J01DC04 Cefacloro 034874026 OMASPIR grat os sosp 100 ml 250 mg/5 ml D.M.G. ITALIA RR 7,68 7,63 G
J01DC04 Cefacloro 034267029 ORALCEF grat os sosp 100 ml 250 mg/5 ml GEYMONAT RR 9,05 9,00 G
J01DC04 Cefacloro 024227047 PANACEF grat gtt os 20 ml 50 mg/ml VALEAS RR 2,71 2,69 G
J01DC04 Cefacloro 024227023 PANACEF 8 cps 500 mg VALEAS RR 7,64 7,59 G
J01DC04 Cefacloro 024227136 PANACEF 12 bust grat 375 mg VALEAS RR 8,63 8,53 X
J01DC04 Cefacloro 024227050 PANACEF grat os sosp 100 ml 250 mg/5 ml VALEAS RR 9,05 9,00 G
J01DC04 Cefacloro 024227098 PANACEF 6 cpr 750 mg rilascio modificato VALEAS RR 11,06 10,99 G
J01DC04 Cefacloro 034504023 PERFORMER grat os sosp 100 ml 250 mg/5 ml VECCHI & PIAM RR 7,68 7,63 G
J01DC04 Cefacloro 034504035 PERFORMER 6 cpr 750 mg rilascio modificato VECCHI & PIAM RR 11,06 10,99 G
J01DC04 Cefacloro 034652014 SELVICLOR 6 cpr 750 mg rilascio modificato S.F. GROUP RR 11,06 10,99 G
J01DC04 Cefacloro 034608012 TAKECEF 8 cps 500 mg SOFAR RR 6,29 6,25 G
J01DC04 Cefacloro 034608024 TAKECEF grat os sosp 100 ml 250 ml/5 ml SOFAR RR 7,81 7,76 G
J01DC04 Cefacloro 032986034 TIBIFOR grat os sosp 100 ml 250 mg/5 ml LISAPHARMA RR 7,68 7,63 G
J01DC04 Cefacloro 032986046 TIBIFOR 6 cpr 750 mg rilascio modificato LISAPHARMA RR 11,06 10,99 G
J01DC04 Cefacloro 034587028 VALECLOR grat os sosp 100 ml 250 mg/5 ml FRANCIA RR 7,68 7,63 G
J01DC06 Cefonicid 033766027 BIOTICIC 1 flaconcino IM 1 g + 1 fiala sol 55 P.S. PHARMA RR 2,89 2,87 G
J01DC06 Cefonicid 033092014 CEFOBACTER 1 fiala IM 1 g + 1 fiala solv 2,5 m 55 AGIPS RR 3,25 3,23 G
J01DC06 Cefonicid 025418144 CEFODIE 1 fiala IM 1 g + 1 fiala solv 2,5 m 55 CRISTALFARMA RR 2,80 2,78 G
J01DC06 Cefonicid 025418132 CEFODIE 1 fiala IM 500 mg + 1 fiala solv 55 CRISTALFARMA RR 4,20 4,17 G
J01DC06 Cefonicid 035235023 CEFONICID 1 fiala IM 1 g + 1 fiala solv 2,5 m 55 ABC RR 2,80 2,78 G
J01DC06 Cefonicid 033347016 CEFONICID 1 fiala IM 1 g + 1 fiala solv 2,5 m 55 COPERNICO RR 2,80 2,78 G
J01DC06 Cefonicid 035012020 CEFONICID 1 fiala IM 1 g + 1 fiala solv 2,5 m 55 DOC GENERICI RR 2,80 2,78 G
J01DC06 Cefonicid 033668029 CEFONICID 1 fiala IM 1 g + 1 fiala solv 2,5 m 55 DOROM RR 2,80 2,78 G
J01DC06 Cefonicid 033576024 CEFONICID 1 fiala IM 1 g + 1 fiala solv 2,5 m 55 EG RR 2,80 2,78 G
J01DC06 Cefonicid 033270012 CEFONICID 1 fiala IM 1 g + 1 fiala solv 2,5 m 55 FARMACEUTICI T.S. RR 2,80 2,78 G
J01DC06 Cefonicid 033044025 CEFONICID "1000" 1 flaconcino IM 1 g + 1 f 55 I.B.I. LORENZINI RR 2,80 2,78 G
J01DC06 Cefonicid 033434046 CEFONICID 1 fiala IM 1 g + 1 fiala solv 2,5 m 55 K24 RR 2,80 2,78 G
J01DC06 Cefonicid 034805010 CEFONICID 1 fiala IM 1 g + 1 fiala solv 2,5 m 55 MERCK GENERICS RR 2,80 2,78 G
J01DC06 Cefonicid 033031028 CEFONICID 1 fiala IM 1 g + 1 fiala solv 2,5 m 55 PANTAFARM RR 2,80 2,78 G
J01DC06 Cefonicid 034655011 CEFONICID 1 fiala IM 1 g + 1 fiala solv 2,5 m 55 PLIVA RR 2,80 2,78 G
J01DC06 Cefonicid 033733027 CEFONICID 1 fiala IM 1 g + 1 fiala solv 2,5 m 55 RATIOPHARM GMBH RR 2,80 2,78 G
J01DC06 Cefonicid 031817024 CEFONICID 1 fiala IM 1 g + 1 fiala solv 2,5 m 55 SANDOZ RR 2,80 2,78 G
J01DC06 Cefonicid 033051018 CEFONICID 1 fiala IM 1 g + 1 fiala solv 2,5 m 55 TEVA RR 2,80 2,78 G
J01DC06 Cefonicid 034805022 CEFONICID 1 fiala IM 500 mg + 1 fiala solv 55 MERCK GENERICS RR 2,89 2,87 G
J01DC06 Cefonicid 033031016 CEFONICID 1 fiala IM 500 mg + 1 fiala solv 55 PANTAFARM RR 2,89 2,87 G
J01DC06 Cefonicid 032161010 CEFOPLUS 1 fiala IM 1 g + 1 fiala solv 2,5 m 55 AESCULAPIUS RR 2,80 2,78 G
J01DC06 Cefonicid 032161022 CEFOPLUS 1 fiala IM 500 mg + 1 fiala solv 55 AESCULAPIUS RR 2,89 2,87 G
J01DC06 Cefonicid 031832025 CHEFIR 1 fiala IM 1 g + 1 fiala solv 2,5 m 55 DRUG RESEARCH RR 4,28 4,25 G
J01DC06 Cefonicid 031832013 CHEFIR 1 fiala IM 500 mg + 1 fiala solv 55 DRUG RESEARCH RR 4,55 4,52 G
J01DC06 Cefonicid 034456018 DAYCEF 1 fiala IM 1 g + 1 fiala solv 2,5 m 55 SARDA RR 2,80 2,78 G
J01DC06 Cefonicid 032162012 EMIDOXIN 1 fiala IM 1 g + 1 fiala solv 2,5 m 55 MAGIS RR 2,80 2,78 G
J01DC06 Cefonicid 029412020 FONICID 1 fiala IM 1 g + 1 fiala solv 2,5 m 55 LA.FA.RE. RR 2,80 2,78 G
J01DC06 Cefonicid 029412018 FONICID 1 fiala IM 500 mg + 1 fiala solv 55 LA.FA.RE. RR 2,89 2,87 G
J01DC06 Cefonicid 031970015 IPACID 1 fiala IM 1 g + 1 fiala solv 2,5 m 55 IPA RR 3,25 3,23 G
J01DC06 Cefonicid 032925012 KRUCEF 1 fiala IM 1 g + 1 fiala solv 2,5 m 55 KRUGHER RR 2,80 2,78 G
J01DC06 Cefonicid 031831023 LISA 1 fiala IM 1 g + 1 fiala solv 2,5 m 55 LISAPHARMA RR 2,87 2,85 G
J01DC06 Cefonicid 031831011 LISA 1 fiala IM 500 mg + 1 fiala solv 55 LISAPHARMA RR 2,89 2,87 G
J01DC06 Cefonicid 033084017 MAXID 1 fiala IM 1 g + 1 fiala solv 2,5 m 55 SO.SE.PHARM RR 2,80 2,78 G
J01DC06 Cefonicid 031826023 MODIEM 1 fiala IM 1 g + 1 fiala solv 2,5 m 55 VECCHI & PIAM RR 2,80 2,78 G
J01DC06 Cefonicid 031812023 MONOBIOS "1000" 1 fiala IM 1 g + 1 fiala so 55 C.T. LABORATORIO FARMACEUTICO RR 2,80 2,78 G
J01DC06 Cefonicid 032894014 MONOBIOTIC 1 fiala IM 1 g + 1 fiala solv 2,5 m 55 ECOBI RR 2,80 2,78 G
J01DC06 Cefonicid 033188018 NECID 1 fiala IM 1 g + 1 fiala solv 2,5 m 55 NEW RESEARCH RR 2,84 2,82 G
J01DC06 Cefonicid 033021027 NOKID 1 fiala IM 1 g + 1 fiala solv 2,5 m 55 TAD PHARMA RR 2,80 2,78 G
J01DC06 Cefonicid 025806011 PRATICEF 1 fiala IM 1 g + 1 fiala solv 2,5 m 55 CABER RR 2,80 2,78 G
J01DC06 Cefonicid 033196015 RAIKOCEF 1 fiala IM 1 g + 1 fiala solv 2,5 m 55 MEDIOLANUM RR 2,80 2,78 G
J01DC06 Cefonicid 033366016 ROCID 1 fiala IM 1 g + 1 fiala solv 2,5 m 55 MAX FARMA RR 4,28 4,25 G
J01DC06 Cefonicid 028893028 SINTOCEF 1 fiala IM 1 g + 1 fiala solv 2,5 m 55 BONISCONTRO & GAZZONE RR 2,80 2,78 G
J01DC06 Cefonicid 033017029 SOFARCID 1 fiala IM 1 g + 1 fiala solv 2,5 m 55 SOFAR RR 2,89 2,87 G
J01DC06 Cefonicid 033419021 VALECID 1 fiala IM 1 g + 1 fiala solv 2,5 m 55 DEPO FARMA RR 2,80 2,78 G
J01DC09 Cefmetazolo 027909050 METAFAR 1 fiala IM 0,5 g + 1 fiala solv 2 m 55 LA.FA.RE. RR 4,54 4,51
J01DC09 Cefmetazolo 027909062 METAFAR 1 fiala IM 1 g + 1 fiala solv 4 ml 55 LA.FA.RE. RR 6,59 6,51 X
